w,d,h,lb,type
84,58,34.5,148.4,sofa/couch
97,65,35,180,sofa/couch
127,87,35,264,sofa/couch
163,83,31,260,sofa/couch
124,87,39,292,sofa/couch
123,123,33,400,sofa/couch
169,101,40,315,sofa/couch
127,87,35,264,sofa/couch
87,38,38,125,sofa/couch
80,35,36,112,sofa/couch
80,38,38,108,sofa/couch
96,43,36,135,sofa/couch
96,44,33,175,sofa/couch
108,69,34,268,sofa/couch
82,36,33,114,sofa/couch
97,65,35,180,sofa/couch
85,42,30,238,sofa/couch
132,119,31,534,sofa/couch
77,40,40.5,242,sofa/couch
86.5,40,40.5,561.6,sofa/couch
131,118,40,518.2,sofa/couch
41,38,40.5,115,chair
41.5,41,42,147.7,chair
9.5,3.7,2,3.5,electronics
66,36,33,89,sofa/couch
58,38,38,85,sofa/couch
65,35,36,91,sofa/couch
65,35,36,91,sofa/couch
59,37,34.3,80.5,sofa/couch
61.5,37,32.5,110,sofa/couch
58,36,34,87,sofa/couch
63,38,38,90,sofa/couch
128,87,38,300,sofa/couch
95,40,38,311,sofa/couch
112,68,35,175,sofa/couch
70,38,35,259.5,sofa/couch
89,33,36,151,sofa/couch
89,42,31,264,sofa/couch
112,68,35,175,sofa/couch
80,35,34.6,203,sofa/couch
64.2,36.2,35.4,181,sofa/couch
90.6,42.9,37.8,136.7,sofa/couch
85.6,35.4,33.3,99,sofa/couch
81.1,35.8,33.9,174,sofa/couch
80,37,34,174,sofa/couch
97,65,35,227,sofa/couch
85.6,35.4,33.3,99,sofa/couch
83,38,40,199,sofa/couch
36,36,19,50,ottoman
32,24,20,32,ottoman
28,24,19,19.8,ottoman
37,29,18,52.8,ottoman
38,38,18,51,ottoman
52,52,16,60,ottoman
32,24,20,32,ottoman
40,40,21,48.5,ottoman
48,64,30,85,chair
100,63,31,200,sofa/couch
73,36,31,85,sofa/couch
36,60.5,37,75,chair
36,60.5,37,75,chair
96,69,33,290,sofa/couch
73,36,31,85,sofa/couch
48,64,30,85,chair
51,36,31,100,sofa/couch
70,24,24,80,sofa/couch
76,29,32,175,sofa/couch
71,32,16,75,sofa/couch
51,36,31,100,sofa/couch
60,32,30,150,sofa/couch
54,31,31,120,sofa/couch
47.3,25,35,47.5,bench
71.3,37.4,36.6,79.4,sofa/couch
71.3,37.4,36.6,79.4,sofa/couch
85.6,35.4,33.3,99,sofa/couch
90.6,42.9,37.8,136.7,sofa/couch
103,91,36.2,131,sofa/couch
103.2,86,32.3,295.4,sofa/couch
103,91,36.2,131,sofa/couch
33,35,33,50.7,chair
89,39,27,100,daybed
84,46,34,121.5,daybed
86.5,32,36,80.5,daybed
86.5,32,36,80.5,daybed
86.5,32,36,80.5,daybed
79,51,49,238,daybed
81.5,44,43.5,199.7,daybed
78.5,43,47,170,daybed
35.4,37,34.4,56,chair
40,39,39,57.5,chair
31,46,41,108,chair
43,38,35,89,chair
32,42,31,58,chair
43,42,31,106,chair
57,44,33,90,chair
45,40,38,65,chair
31.5,39,40.9,104.7,chair
35.5,42,43,66.5,chair
41.5,41,42,147.7,chair
30.5,33,42.5,132,chair
41,38,40.5,115,chair
30.5,33,42.5,133,chair
40.1,37.5,41,103.4,chair
41,38,40.5,115,chair
38.6,39.8,41.7,66.8,chair
81.1,17.7,17.3,28.6,bench
74,15,18,75,bench
80.71,16.14,15.75,49.5,bench
64,18,18,45.1,bench
48,18,18,43.7,bench
98,17,18,93,bench
63,15,18,60,bench
48,19,38,30,bench
54.75,30,14,48.6,table
33.07,33.07,17.32,61.6,table
33,33,18,50,table
50,20,20,50,table
49,25,20,95,table
47,27.5,16,101,table
41,40,12,114,table
50,26,18.5,60,table
19.69,19.69,19.69,19,table
18,26,25.5,70,table
22.83,22.83,16.93,23.3,table
10,18,24,23,table
22,22,24,45,table
51.96850394,18.11023622,31.88976378,44,table
60,16,30,70,table
60,16,28,59,table
68,23,30,121,shelf
58,17,28,103,shelf
84,16.63,32.88,187,shelf
74,20,28,156.2,shelf
86.63,16.63,34.38,187,shelf
84,16.63,32.5,187,shelf
97,18,32,175,shelf
97,18,32,170,shelf
36,18,78,190,shelf
28.5,17,77,127.8,shelf
37.5,11.75,47.13,78,shelf
39,18,78,200,shelf
40,18,62,225,shelf
42,16,72,179.9,shelf
46.75,15.75,32,66,shelf
35.43,15.7,64.96,65.1,shelf
46,13,72,24,devider
48.25,13.25,73.13,125,devider
60,1,69,40,devider
57,0.5,75,35.9,devider
59.3,1.7,79,34,devider
48,1,71,30.1,devider
80,1,80,50.2,devider
54,1,72,33.2,devider
70,17,31,58,table
56,22,37,57,bench
56,16,31,140,table
46,17,28,80,table
50,16.5,30,50,table
50,19,34,141,bench
64,18,32,70,table
48,18,30,59,table
60,27,28,55,ottoman
75.98,16.14,18.11,35,bench
12.8,12.8,18.1,16.5,chair
18,14,20,7.7,table
30,24,19,23,ottoman
36,18,28,84.9,bench
62,18,35,130,shelf
24.5,24.5,16,10,ottoman
